pais,continente,anio,esperanza_de_vida,poblacion,pib_per_capita
Afganistán,Asia,1952,28.801,8425333,779.4453145
Afganistán,Asia,1957,30.332,9240934,820.8530296
Afganistán,Asia,1962,31.997,10267083,853.10071
Afganistán,Asia,1967,34.02,11537966,836.1971382
Afganistán,Asia,1972,36.088,13079460,739.9811058
Afganistán,Asia,1977,38.438,14880372,786.11336
Afganistán,Asia,1982,39.854,12881816,978.0114388
Afganistán,Asia,1987,40.822,13867957,852.3959448
Afganistán,Asia,1992,41.674,16317921,649.3413952
Afganistán,Asia,1997,41.763,22227415,635.341351
Afganistán,Asia,2002,42.129,25268405,726.7340548
Afganistán,Asia,2007,43.828,31889923,974.5803384
Albania,Europa,1952,55.23,1282697,1601.056136
Albania,Europa,1957,59.28,1476505,1942.284244
Albania,Europa,1962,64.82,1728137,2312.888958
Albania,Europa,1967,66.22,1984060,2760.196931
Albania,Europa,1972,67.69,2263554,3313.422188
Albania,Europa,1977,68.93,2509048,3533.00391
Albania,Europa,1982,70.42,2780097,3630.880722
Albania,Europa,1987,72,3075321,3738.932735
Albania,Europa,1992,71.581,3326498,2497.437901
Albania,Europa,1997,72.95,3428038,3193.054604
Albania,Europa,2002,75.651,3508512,4604.211737
Albania,Europa,2007,76.423,3600523,5937.029526
Argelia,África,1952,43.077,9279525,2449.008185
Argelia,África,1957,45.685,10270856,3013.976023
Argelia,África,1962,48.303,11000948,2550.81688
Argelia,África,1967,51.407,12760499,3246.991771
Argelia,África,1972,54.518,14760787,4182.663766
Argelia,África,1977,58.014,17152804,4910.416756
Argelia,África,1982,61.368,20033753,5745.160213
Argelia,África,1987,65.799,23254956,5681.358539
Argelia,África,1992,67.744,26298373,5023.216647
Argelia,África,1997,69.152,29072015,4797.295051
Argelia,África,2002,70.994,31287142,5288.040382
Argelia,África,2007,72.301,33333216,6223.367465
Angola,África,1952,30.015,4232095,3520.610273
Angola,África,1957,31.999,4561361,3827.940465
Angola,África,1962,34,4826015,4269.276742
Angola,África,1967,35.985,5247469,5522.776375
Angola,África,1972,37.928,5894858,5473.288005
Angola,África,1977,39.483,6162675,3008.647355
Angola,África,1982,39.942,7016384,2756.953672
Angola,África,1987,39.906,7874230,2430.208311
Angola,África,1992,40.647,8735988,2627.845685
Angola,África,1997,40.963,9875024,2277.140884
